UserId,ItemId
15,862 1383 1819 1780 1630 1285 558 877 2389 2523 2800 870 513 3166 1531 2727 761 2580 2497 1803 1451 1904 205 1287 253 2871 983 3020 448 85 2685 1959 44 2774 1258 26 1596 904 534 370 2289 386 1845 17 1348 285 2052 2445 1614 65 1679 950 1426 685 2963 16 2230 888 249 1907 60 1433 1506 73 1594 76 593 1489 1205 944 1075 743 95 817 2243 1293 172 304
16,53 308 39 636 3042 2411 867 107 1379 1155 2575 2979 1286 2863 763 985 2413 328 2086 89 1563 1322 870 1015 414 832 187 1645 665 2769 2850 2177 2640 11 621 1734 1066 902 2601 352 2816 2105 1514 1844 2767 3051 2468 2730 550 3001 2267
17,54 271 1732 2394 1303 1401 1331 638 1090 783 2732 3032 2202 2846 1548 1086 72 30 2512 36 418 1753 1061 1240 1740 2459 1493 2901 1089 2508 200 124 451 459 2157 2094 1233 1156 2959 311 2450 1534 127 23 63 2548 1321 814 152 618 1393 704 2725 1176 2895 2961 2118 607 1067 1791 27 1265 239 695 600 2124 1899 1533 508 1319 2175 2716 841 317 3129 2338 614 728 2291 1388 287 2622 764 988 2601 2198 278 754 1001 1403 1478 1153 539 671 1500 1572 405 2254 1544 4 551 523 968 538 2665 1553 1775 390 1693 1297 10 2364 1864 498 1893 786 577 1982 1809 1781 893 2576
18,2510 1337 2619 106 88 565 1 1356 972 1436 1147 390 4 61 84 1647 2124 1713 2 2199 1693 910 754 378 326 547 270 1836 876 123 208 2505 618 170 2574 1753 317 970 1153 2493 1228 923 908 57 515 1223 1321 2711 117 175 1485 2095 790 2698 642 2342 697 1062 1209 2428 615 627 2481
19,253 2015 2247 165 769 744 2885 1404 2008 1204 1187 2892 1879 2741 690 965 989 549 2962 1696 3111 128 2921 530 1336 136 687 2894 879 13 2250 775 552 2 2499 1754 125 94 2473 1355 186 1216 1145 1288 509 2414 450 3 922 1154 309 0 2053
20,1845 1255 166 2691 1386 1211 3081 47 634 3099 1787 871 716 2219 121 2965 1448 2857 3068 51 937 1810 67 1048 1314 1678 1798 1186 2159 1634 365 1180 1467 1682 465 285 646 437 925 1588 1614 1174 934 1264 2024 282 1040 1615 421 950 33 16 2009 298 1193 426 1658 1138
21,129 2685 768 544 2058 458 690 1273 392 565 1683 1278 1041 477 44 542 1059 217 2015 26 715 1065 2046 1102 1741 881 1498 1187 254 59 1891 485 197 1355 353 387 72 248 39 3174 314 165 346 653 79 1003 1282 1860 864 779 1707 2655 674 1460 3084 1257 2433 185 816 1185 1163 874 2527 52 641 179 75 3154 2526 1430 817 1106 128 557 1385
22,1399 1612 1164 642 1754 1366 161 786 194 1146 723 2165 748 1147 2517 712 550 81 910 0 2028 1231 3030 87 1353 737 94 338 422 1115 377 113 1235 360 530 1188 2177 109 311 66 361 941 996 2271 1221 1558 173 433 3106 1833 37 738 305 340 471
23,2018 228 761 59 830 839 1163 2265 1346 2159 2955 2541 1404 1441 1458 2597 342 3064 46 2667 21 2978 3167 13 324 34 349 1437 2278 3111 942 2423 2602 2705 998 1554 3126 2228 1294 2968 429 248 563 687 1009 252 466 2890 143 2678 280 3002 2531 1685 2786 1545 1064 2196 293 3 187
24,232 1170 405 1992 633 1564 2432 281 523 2876 1775 1164 631 390 2841 2950 923 432 1 43 1728 2498 1234 3100 1928 2028 2999 25 398 705 634 716 836 550 29 3082 2303 1113 721 62 548 605 1064 1499 296 1119 16 1295 1977 872 1390 2966 650 2644 2198
25,2093 1871 1103 3103 1278 2098 1059 2955 768 544 2298 2058 868 429 77 357 85 410 291 3174 175 1204 104 887 197 3012 477 2597 1198 485 262 3124 828 502 106 1469 2366 2079 1069 254 165 39 816 327 1767 2008 1118 1363 698 1498 1430 2046 2526 962 205 185 763 121 781 2339 1722 570 995 3061 1282 683 2840 1106 2587 3119 1911 2357 89 557 492 3111 1696 1963 2910 1134 265 128 309 3191 47 1348 997 1609 341 1682 702 2528 229 1 10 2242 145 217 1867 452 927 902 411 2765 66 690 94
26,209 1379 2292 213 3021 1856 868 327 2863 1432 75 1560 151 415 1852 476 3093 1603 2685 636 565 2423 26 44 1498 102 1350 779 253 174 129 865 1970 1239 254 2040 39 1273 1683 1065 106 1041 1891 2497 387 465 155 353 429 2247 165 417 922 2100 2575 2238 2746 3036 288 1293 185 1518 481 17 82 168 817 107 1330 153 879 1981 1827 2697 11 21 758 229 2049 2538 321 94 517 976 1091 109
27,2667 2551 1576 1900 1957 765 3112 413 687 1639 2285 1227 1699 1967 719 552 279 915 1149 1487 1374 781 75 3001 2894 2693 1617 2899 2614 2522 1316 64 1032 921 23 2462 53 181 177 812 1000 905 582 1769 205 2202 989 1481 2193 3002 50 1124 680 2092 2174
28,328 2104 53 2251 382 1866 2400 2931 1629 1294 2679 1563 2152 1224 2085 1251 1806 956 506 2705 1598 71 1078 761 2853 2692 1512 2865 258 584 3026 327 2930 1625 1083 232 2977 1672 1799 2346 1357 2452 1705 2269 2871 903 2933 309 3119 811 1617 2159 52 1464 1843 1492 93 812 320 1782 2058 2726 931 72 1026 1191 203 485 417 2885 1894 1772 1704 2583 511 2791 1404 79 1978 1264 1766 2914 1116 155 1371 1270 1480 1807 1535 1122 1612 3190 1052 1424 142 126 1346 1415 1859 602 2848 185 311 1554 2899 1250 2697 1082 2453 2393 1746 2246 604 3084 1223 2511 1985 2836 2765 2962 26 726 3169 1927 610 2219 1569 461 2691 2813 1185 2417 294 1779 290 1743 1430 1791 1558 2277 1043 2035 641 1444 3069 1393 976 2539 428 1293 1790 1611 809 1336 3113 2440 3062 1162 2547 578 483 2338 91 2525 2909 822 2674 520 985 1088 317 1448 620 233 1574 1385 1450 229 341 1844 2653 2567 1048 2312 859 43 2410 1537 820 1153 2352 2579 3056 2073 947 2969 492 2252 2877 340 2727 959 2257 2381 1624 2753 2279 2001 2602 1269 3015 1496 1963 33 1523 2285 2327 2558 997 1898 615 2785 770 661 324 491 2665 551 545 1484 1581 1212 3133 733 1201 1679
29,21 1356 1395 17 1316 92 67 98 2779 1769 2747 321 2141 2741 526 1614 925 554 320 862 1419 999 3139 1402 171 1679 282 744 435 1436 2689 678 1108 1 912 762 173 812 993 1035 456 139 434 970 16 207 300 2727 1174 1906 1501 471 49 86 596 22 78 118 998 442 43 76 3 45 105 5 2 2246 60 212 409
30,627 4 2703 1775 1135 3015 2420 338 615 3149 2950 378 748 1117 931 326 208 2517 1399 200 425 451 607 728 671 420 3100 633 786 9 516 170 1214 1747 600 910 2428 1695 1933 240 1313 1062 1650 577 684 156 2496 585 1533 924 508 377 2012 132 1486 459 1393
31,1207 3056 639 565 598 1978 3052 125 1454 3106 94 1601 134 2908 1514 962 660 1497 330 1385 2588 2785 2365 1607 321 2884 537 552 2573 511 1642 1414 2342 123 2830 70 1613 2698 1353 273 2182 318 12 69 666 2243 1391 30 35 1114 1375 553
32,2247 1518 2245 1037 387 39 981 630 744 357 2 1126 622 21 3099 2642 869 730 1696 1905 660 570 557 530 2024 67 309 98 1549 720 136 321 762 1609 518 3005 2114 84 1145 421 1035 1322 0 442 404 165 529 137 1165 245 1410 1405 438 2320 1144 2414
33,331 1015 949 1518 2277 1 1668 21 2403 1608 153 2401 989 1162 578 1207 2207 243 1358 67 2235 517 2844 2650 2461 1798 2488 649 1824 340 3098 17 92 2513 1321 720 87 1095 387 4 2997 569 2313 1679 347 3185 94 98 730 1277 1967 69 1394 1497 762 1770 919 138 1373 520 321 1715 1727 2924 58 421 516 1330 1213 1604 2563 678 127 518 1368 22 2440 547 207 1525 2280 1808 139 2536 550 1374 1035 0 1867 186 1024 114 3161 190 2770 267 256 663 1442 1588 2570 2718 109 2805 247 6 791 1499 2110 1964 2457 35 2044
34,198 985 2072 3199 51 581 2059 1840 2292 435 693 3101 75 3023 1907 1496 979 1462 106 565 653 17 1701 1626 3136 2489 182 1588 554 136 1008 925 294 266 3151 2431 2564 537 86 826 348 166 1715 370 961 526 3166 936 10 64 3172 2623 0 217 122 1725 911 6 3178 1685
35,1038 1285 877 621 830 1654 1260 2021 1084 2930 709 2054 1072 870 608 1050 448 1921 1287 719 983 44 1258 506 2523 3164 473 1043 680 534 499 466 115 1596 353 1638 952 1059 610 413 960 1083 745 197 370 904 2760 252 2774 2204 1805 3020 866 2458 3025 2039 864
36,649 93 662 811 129 54 594 510 478 1898 865 891 2178 584 209 375 2238 823 2226 1078 3006 1683 698 1625 2476 1330 2195 72 232 429 2819 197 2880 480 290 352 890 814 155 2642 3089 230 121 3097 3140 1430 854 2834 517 488 2510 90 809 36 88 2452 87 21 2232 1 84 4 13 153 2635 386 1623 98 170 201 182 387 127 191 94 145 541 943 2562 591 435 543 2710 3178 709 1751 2729 3010 272 1350 2817 372 2305 1900 1202 1492 3104 574 20 2910 490 1647 105 2798 664 1982 2 64 173 1396
37,2300 610 414 1043 904 1258 705 473 370 1020 653 2039 2151 2655 549 1284 2301 1346 1717 115 1378 252 1845 1255 2528 3048 1569 2376 403 107 634 2709 1348 166 1787 716 2269 1090 1088 1448 408 648 2921 88 1568 67 1734 545 1249 285 1682 1492 17 919 2307 2445 2499 136 1510 92 2988 295 1360 1468 348 687 552 22 139 16 60 73 2190 1722 1489 49 593 97 12 3 95 28 739 727 849
38,1414 1229 39 2077 2269 52 2560 1936 528 2384 1346 1052 2072 466 904 1371 1424 2220 1926 1380 952 301 1569 362 1510 1531 2745 1336 959 2373 1845 403 448 2986 1422 897 2000 413 2204 365 21 1634 894 106 2957 2795 2026 67 115 3081 2389 535 1734 1678 512 1588 171 2200 1152 999 1261 545 1158 92 2515 2431 536 2442 166 1488 3096 437 1 694 43 482 4 136 1389 400 3114 38 621 1914 759 189 158 532 1862 144 1814 521 65 175 1780 169
39,998 680 1043 1059 3093 75 931 2532 1038 2325 851 2944 960 72 39 887 197 1767 1020 864 353 2289 1936 2039 582 23 937 2660 2541 2985 1299 1517 121 1148 342 344 452 2127 486 2113 1088 1622 1789 2 1779 1317 1654 252 301 447 466 528 499 413
40,90 2452 1623 793 868 1369 1937 1491 1079 2463 1950 2539 591 933 636 683 291 747 719 1847 2264 1768 1190 1274 1363 2015 3168 502 1278 187 2369 393 541 1473 2516 1993 964 1831 145 930 230 1014 3079 151 2804 1330 1437 674 902 411 614 47 1032 181 23 2427 2385 665 1251 1866 625 1898 645 2673 2285 2232 1 1095 1760 569 2013 2174
41,862 447 1975 699 2389 370 1821 1386 1914 1285 1084 1258 1287 1364 877 1955 2454 2630 2813 252 2264 2579 866 983 1493 1087 122 331 191 1424 2204 279 705 1531 621 2973 2090 2289 2179 2747 1284 448 244 931 259 145 2039 536 499 466 403 174 1166 1845 534 388 902 155 3036 1293 579 30 23 1938 608 1015 1255 1259 329 2302 1908 937 82 2450 990 470 1171 1766 909 2782 702 2035 2781 597 1335 1020 1451 1685 260 2227 2899 1018 2574 2150 535 879 1072 2269 2807 1892 634 431 2200 625 694 2385 1211 2709 1466 51 1826 512 393 27 2373 2960 2515 2555 2647 201 660 1314 166 2845 2727 162 1790 3081 2412 2560 411 271 2440 716 1849 480 1734 1068 2207 3178 83 1840 2442 67 1358 827 800 315 2306 1 648 127 38 1798 569 328 2501 856 1758 2231 2358 1186 2764 2415 365 1715 2024 2257 1269 11 1162 1907 467 491 545
42,1532 2867 1336 2177 512 1068 1088 83 1448 694 827 1574 1540 1948 3023 21 2440 252 952 685 1158 1925 2523 1931 2207 87 115 92 365 2408 1634 645 1186 93 2383 2946 1679 413 1203 2558 578 301 2005 1467 491 370 428 2706 1770 1546 2230 1854 919 437 2999 962 3085 1484 3182 1369 1598 2115 166 282 22 2579 518 1814 970 2824 0 1841 1094 2412 888 1036 1784 2290 534 479 472 65 400 1075 973 73 2143 2807 1658 76 3172 28 443 176 471 561 991 12 1365 137 2722 2533 284 1138 3022 3198 1952 2858 169 211
43,2579 862 1383 1819 2284 1439 2609 2135 2264 815 1052 2033 2251 1780 271 2389 877 2926 2345 461 2815 313 1921 1959 2117 889 370 115 39 47 388 362 145 175 1018 2781 2268 2036 959 54 844 749 2134 653 285 470 21 67 92 1068 1042 2092 1829 925 934 11 1 1054 2807 13 651 3047 1369 1588 729 1174 1283 2397 563 53 591 2 985 260 991 125 81 52 0 22 2892 1108 97 218 918 167 3 28 5 284 58 621 448 1785 169
44,891 382 2098 1568 1852 410 314 319 1310 938 2100 265 23 1294 1912 1708 851 1451 52 213 1079 761 3146 2133 651 1190 2779 641 1116 2276 1123 476 2162 2863 1050 3119 1764 85 44 779 1498 39 933 956 2074 93 2575 2557 1041 1915 415 2292 197 253 2411 543 1803 106 386 3057 429 1891 82 1204 1404 2801 375 2082 2134 3172 1879 3042 570 1567 879 693 142 517 758 2091 2652 229 2894 88 347 1212 59 1397 2700 762 11 449 78 1110 3104 1850 1377 2163 321 171 518 581 3085 1868 475 207 2663 238 3151 1046 10 1353 927 2186 552 1264 137 154 2843 1598 1580 273
45,17 191 1171 82 1892 879 2527 2867 88 1608 1668 716 2440 2503 11 198 730 435 2844 67 517 449 3139 557 3098 2361 92 1186 979 1496 98 134 1588 285 720 925 762 1368 2564 2778 263 934 941 678 537 421 13 123 293 2089 0 22 404 666 3050 186 2770 2570 16 2505 593 99 108 2143 76 1323 8 2239 2110 561 509 97 572 675 441 164 3067 18 172
46,964 1176 2508 1534 1117 3063 205 36 2764 290 2211 907 2959 1753 2157 1265 508 124 152 40 1289 2625 1994 2895 1533 2403 1067 695 1899 200 425 451 640 618 607 2012 2003 1771 2834 2901 704 2620 2725 2502 278 2254 1403 2281 2939 2338 728 790 1933 2317 1464 539 1321 614 1791 302 2492 1 84 459 2970 633 3024 2662 2180 405 631 2767 61 2173 748 432 1728 2198 2439 1833 873 516 1747 2517 1553 377 2121 968 3163 1977 1836 156 390 208 1164 3054 3100 3030 1147 1525 9 577 2896 2465 3058 1922 14 10 15 195 585 1605 2271 1063 132 2056 2420 241 62 411 30 63 239 7 3038 2319 1409 1234 668 194
47,2003 239 63 84 287 4 1 2492 366 1319 1478 459 56 2157 1393 539 1544 798 523 1775 278 1584 2662 1553 968 170 2981 1164 2767 390 2713 1671 1550 2572 748 629 2703 378 2148 2677 2882 1366 3100 326 377 786 1922 3034 1864 1111 498 860 2271 924 738 893 358 2634 3118 1653 190 3038 1809 796 2771 802 2386 1477
48,754 38 1653 1139 1135 539 627 270 1450 2013 482 671 2703 1604 2839 30 1332 2967 208 2695 1525 1114 156 1951 2536 0 361 339 3030 1117 3161 340 123 748 836 516 377 1235 2493 684 973 970 2881 76 438 336 273 782 459 2430 2136 2771 2942 2288 980 3116
49,27 2 408 526 1713 387 2420 519 3153 708 1497 2324 664 103 979 2950 931 58 326 642 671 537 9 170 516 377 2757 1695 163 240 113 267 1824 404 105 250 56 860 366 629 624 738 180 270 66 2304 1111 255 1276 546 37 273 35 548 2199 8
50,2222 47 852 2631 1069 1008 23 1270 2685 152 1148 1796 2 346 2302 2373 2469 983 1668 2794 1608 88 2769 2128 294 1401 952 230 2440 2617 1733 243 716 11 1014 2928 2837 191 957 2525 198 2102 1340 517 1826 520 821 526 1406 1422 1424 671 244 659 1548 1293 2568 1211 1634 1740 348 551 494 2812 320 1 806 759 22 143 642 1534 1108 456 32 521 2619 438 118 380 721 738 490 405 598 1144 35 390 182 3 3038 212 2780 896
51,72 723 903 461 2394 1039 1971 978 1593 562 2870 861 852 1074 2178 175 2631 1720 2278 1464 646 515 124 2752 2482 1189 2490 1986 200 233 425 451 640 480 2065 288 937 23 152 2846 1321 311 1228 618 1991 3006 1222 2716 1408 375 63 1 1680 4 2420 67 230 754 278 92 1550
52,976 2696 408 2889 2408 1713 1346 1017 2235 21 67 92 634 1709 2802 243 69 1394 722 2511 30 150 2313 96 321 31 356 1702 1 84 4 547 2924 993 1047 0 746 550 1331 99 161 9 32 87 352 1542 2105 1485 910 1228 1098 642 326 738 860 799 263 1119 156 1833 170 6 684 516 109 548 12 147 1561 936 37 1351 865 55 7 1276 20 772 489 1700 35 2637 2081 2109 712 732 337 1565
53,2529 1143 1733 1796 2128 1655 2236 1851 1826 1108 2478 580 3181 981 851 478 497 767 1683 1732 1763 2929 102 2167 2108 2000 1347 1635 2497 1087 2862 776 868 2033 1921 1843 3107 554 1451 1660 1708 1303 481 2394 943 44 2034 1629 72 2375 1086 386 1976 2077 1596 2384 1958 1821 2302 1089 1535 1342 2373 2219 2617 2593 2579 1419 295 60 322
54,1143 328 3193 1379 1052 2366 412 2684 2389 1050 2930 2458 2074 481 567 1491 610 175 1959 933 106 680 174 1567 1043 1273 1638 89 506 2885 2220 2008 1346 17 1378 1355 23 1875 1569 1936 816 2709 480 1743 817 2867 88 2757 1713 2279 2442 21 545 1497 437 2141 1453 1854 934 2993 421 318
55,523 2997 1373 2445 1679 127 21 69 2230 173 1421 2515 2039 1546 2603 2564 166 1540 1203 1814 2054 1488 1951 1959 2651 551 2555 22 1094 0 1784 1036 2011 190 760 1586 463 361 167 73 2871 3130 506 1730 1087 1958 211 1821 2302 2373 2617 453 1634 806 76 1687 456 3161 10 2484 146 60 118 2579 1794 2412 295 3193 1193 886 2709 14 1936 920 1569 1787 1249 3 610 112 904 95 298 66 2644 743 1378 1088 2136 919 141 172 2187 223 454 970
56,1386 2200 2104 1426 47 938 2294 1586 387 1790 1375 578 83 520 2442 569 2207 694 408 38 206 2415 1162 1174 1574 2013 3185 153 1679 98 1210 1277 30 17 1358 1068 1967 1770 1097 1960 2971 2542 361 1604 1 84 166 22 1374 293 0 3050 249 1243 300 529 3094 50 109 1883 663 2651 438 850 1323 2171 189 66 561 12 1658 28 2 5 918 2902 996 739 2243 2996 431 3007 2942 518 3198
57,2145 1796 1941 1531 2920 877 2429 476 1955 2454 72 417 2300 776 314 1136 2630 864 1493 2906 2458 674 713 2287 200 542 2051 949 2710 1975 127 330 155 694 265 3089 2227 107 17 1223 21 88 2314 2867 2862 47 638 2202 2959 2877 2338 945 34 663 2841 6 256
58,2439 1671 1550 638 270 539 1544 1775 3109 378 377 1399 1913 2981 2517 1366 149 114 3100 2730 3054 1392 2209 1833 824 110 2061 748 195 2465 360 1111 2695 1140 236 1235 913 68 1663 100 566 1339 305 438 1053 451 650 425 367 3138 1530 1669 1577 1872 731 1703 2407 101 688 626 953 474 2460 2019 1349 2258 1759 637 420 132 631 633 899
59,2679 3018 2870 567 2893 2098 3188 2137 2400 497 465 319 843 59 2865 1593 2065 335 2446 2185 3136 761 2684 233 174 3006 2907 1937 1171 2336 2161 2008 294 11 2928 449 544 1029 2031 1731 861 2089 1683 51 3106 98 2686 2689 935 2557 1688 2816 2997 445
60,2719 1891 1995 1369 85 779 1642 260 3158 415 387 52 3195 2315 2926 1239 388 382 476 1224 567 3036 2300 2411 213 39 2397 174 2746 265 2447 513 3172 723 1432 1667 481 1518 838 1015 153 262 879 2642 1174 88 3185 1419 2588 86 2089
61,232 823 187 1061 44 2223 1988 23 72 244 1821 2661 1222 259 2986 1146 974 1938 1001 657 328 1116 2248 942 473 36 87 2546 2513 832 1554 47 124 686 30 2302 1032 1469 2071 1790 1015 414 1720 279 20 308 2602 1698 854 765 2370 2471 2295 2531 27 1188 103 1021 330 397 189
62,1360 2558 1636 551 348 11 1527 2489 1628 2445 1863 1770 1170 1906 2997 820 1269 1852 1167 136 3109 1739 2800 3113 2168 2822 166 1314 1293 694 1668 1275 105 1426 3101 730 1134 685 630 1348 1894 1608 321 320 547 2770 1094 0 361 51 400 1730 2570 917 2257 1996 933 6 1765 318 2565 819 81 54
63,1280 3075 909 36 2748 124 85 1206 152 1908 508 1533 695 2291 1586 40 3171 665 754 728 1771 2620 278 2254 84 1 790 2939 607 423 56 432 87 2866 2492 467 3149 98 1135 1225 2662 631 1693 2173 2572 58 2841 1292 2695 1913 14 15 2545 1297 420 777 3054 547 2514 114 37 2418 110 3117 1573 100 721 963 1499 2270 164 8 785 2530 140
64,259 1042 2090 1625 686 2150 784 2005 1018 1229 1305 1579 2385 1127 2645 2036 2865 394 2500 597 2197 53 181 2734 1414 894 2387 23 3188 1073 2679 562 2699 487 2448 77 657 328 2704 567 2023 515 2994 473 1898 959 72 722 2195 1408 1228 79 1485
65,607 425 451 600 54 1369 840 1685 26 1117 2490 47 535 279 106 89 429 2295 459 290 388 2733 1296 880 839 145 1729 21 67 1286 107 702 2939 75 1820 309 306 544 1080 142 94 2100 2729 69 2755 1450 30 3169 84 4 2841 569 2013 2542 2543 2529 538 2711 368 2203 1301 2140 701 2038 2027 220 2646 366 624 2855 150 339 96 31 963 268 460 623 531 2193 66 6 2576 2146 1483
66,1839 867 2590 2086 558 1124 53 723 870 682 181 2412 3160 1990 2579 89 44 1074 904 2000 1997 414 2699 3103 983 1020 2151 3193 784 1633 1962 673 1123 960 1038 864 674 763 1059 77 2285 1480 828 179 1028 23 2532 34 1911 989 313 921 38 1106 13
67,357 36 861 985 2 151 1647 1905 1576 885 646 1878 902 1623 502 2625 2102 2228 52 709 1 592 1772 84 2646 179 4 2640 242 117 1032 590 681 411 170 2159 1554 954 2119 1683 627 2539 3091 350 2085 26 2538 1645 2285 1751 503 20 2716 189 915 1274
68,213 513 1432 1625 1418 2191 1074 1750 1050 1451 209 1852 2684 562 2504 3021 543 2800 179 1660 1452 46 649 2229 1915 268 64 2382 2819 2871 44 1579 1023 77 580 89 922 2137 567 2859 1127 1357 174 233 291 414 93 3020 3006 155 1532 1032 354 1531 2580 3174 2699 1198 2065 1228 2837 335 1661 3018 2947 682 3025 1204 1745 1460 75 480 375 2772 168 2590 2278 3188 1498 2336 262 191 17 2433 781 1270 460 837 797 1794 2914 817 26 639 79 1408 2293 185 82 59 297 879 85 39 972 2265 104 415 36 205 124 152 40 1608 2100 2865 674 2240 1207 129 243 1069 2 1356 1524 2816 294 2246 1185 2589 957 311 449 386 693 153 1396 1223 198 2043 1029 722 1599 1773 758 2765 1402 819 2661 125 11 1384 3098 1668 526 1514 1341 51 2588 808 762 1497 1419 349 2168 2924 936 147 2627 3016 472 1353 1381 908 1474 160 896 1490 810
